DriverNumber,Driver,TeamName,Position,Points,Year,GrandPrix,Round,QualPosition,Driver_AvgFinish_Season,Team_AvgPoints_Season,PrevRaceFinish,Form_Last3,AvgFinish_AtGP_PastYears,AvgQual_AtGP_PastYears,norm_Form_Last3,norm_AvgFinishAtGP,norm_AvgQualAtGP,Drivers_Confidence,DriverID,TeamID,GP_ID
1,VER,Red Bull Racing,1,26,2020,Austrian Grand Prix,1,1,3.7058823529411766,12.323529411764707,10.0,1.0,,,1.0,1.0,1.0,1.0,22,8,3
11,PER,Red Bull Racing,2,18,2020,Austrian Grand Prix,1,5,8.176470588235293,12.323529411764707,10.0,2.0,,,0.9473684210526316,1.0,1.0,0.9789473684210528,14,8,3
55,SAI,Ferrari,3,15,2020,Austrian Grand Prix,1,4,5.875,11.735294117647058,10.0,3.0,,,0.8947368421052632,1.0,1.0,0.9578947368421054,18,2,3
16,LEC,Ferrari,4,12,2020,Austrian Grand Prix,1,2,5.0588235294117645,11.735294117647058,10.0,4.0,,,0.8421052631578947,1.0,1.0,0.9368421052631579,10,2,3
63,RUS,Mercedes,5,10,2020,Austrian Grand Prix,1,3,7.823529411764706,8.617647058823529,10.0,5.0,,,0.7894736842105263,1.0,1.0,0.9157894736842105,17,6,3
4,NOR,McLaren,6,8,2020,Austrian Grand Prix,1,7,4.294117647058823,13.382352941176471,10.0,6.0,,,0.736842105263158,1.0,1.0,0.8947368421052633,12,5,3
44,HAM,Mercedes,7,6,2020,Austrian Grand Prix,1,9,6.411764705882353,8.617647058823529,10.0,7.0,,,0.6842105263157895,1.0,1.0,0.8736842105263158,7,6,3
81,PIA,McLaren,8,4,2020,Austrian Grand Prix,1,8,4.647058823529412,13.382352941176471,10.0,8.0,,,0.631578947368421,1.0,1.0,0.8526315789473684,15,5,3
14,ALO,Aston Martin,9,2,2020,Austrian Grand Prix,1,6,9.647058823529411,2.411764705882353,10.0,9.0,,,0.5789473684210527,1.0,1.0,0.831578947368421,1,1,3
18,STR,Aston Martin,10,1,2020,Austrian Grand Prix,1,12,12.647058823529411,2.411764705882353,10.0,10.0,,,0.5263157894736843,1.0,1.0,0.8105263157894738,20,1,3
24,ZHO,Kick Sauber,11,0,2020,Austrian Grand Prix,1,17,16.11764705882353,0.0,10.0,11.0,,,0.4736842105263157,1.0,1.0,0.7894736842105263,23,4,3
20,MAG,Haas F1 Team,12,0,2020,Austrian Grand Prix,1,15,13.75,0.7941176470588235,10.0,12.0,,,0.42105263157894735,1.0,1.0,0.7684210526315789,11,3,3
3,RIC,RB,13,0,2020,Austrian Grand Prix,1,14,13.117647058823529,0.8235294117647058,10.0,13.0,,,0.368421052631579,1.0,1.0,0.7473684210526316,16,7,3
22,TSU,RB,14,0,2020,Austrian Grand Prix,1,11,13.470588235294118,0.8235294117647058,10.0,14.0,,,0.3157894736842106,1.0,1.0,0.7263157894736842,21,7,3
23,ALB,Williams,15,0,2020,Austrian Grand Prix,1,13,13.588235294117647,0.48484848484848486,10.0,15.0,,,0.26315789473684204,1.0,1.0,0.7052631578947368,0,9,3
27,HUL,Haas F1 Team,16,0,2020,Austrian Grand Prix,1,10,11.823529411764707,0.7941176470588235,10.0,16.0,,,0.21052631578947367,1.0,1.0,0.6842105263157894,8,3,3
31,OCO,Alpine,17,0,2020,Austrian Grand Prix,1,19,13.647058823529411,0.38235294117647056,10.0,17.0,,,0.1578947368421053,1.0,1.0,0.6631578947368422,13,0,3
10,GAS,Alpine,18,0,2020,Austrian Grand Prix,1,20,13.823529411764707,0.38235294117647056,10.0,18.0,,,0.10526315789473695,1.0,1.0,0.6421052631578947,6,0,3
77,BOT,Kick Sauber,19,0,2020,Austrian Grand Prix,1,16,16.058823529411764,0.0,10.0,19.0,,,0.05263157894736836,1.0,1.0,0.6210526315789473,3,4,3
2,SAR,Williams,20,0,2020,Austrian Grand Prix,1,18,17.142857142857142,0.48484848484848486,10.0,20.0,,,0.0,1.0,1.0,0.6,19,9,3
1,VER,Red Bull Racing,1,25,2020,Styrian Grand Prix,2,1,3.7058823529411766,12.323529411764707,1.0,1.0,,,1.0,1.0,1.0,1.0,22,8,27
11,PER,Red Bull Racing,2,18,2020,Styrian Grand Prix,2,3,8.176470588235293,12.323529411764707,2.0,2.0,,,0.9473684210526316,1.0,1.0,0.9789473684210528,14,8,27
16,LEC,Ferrari,3,16,2020,Styrian Grand Prix,2,2,5.0588235294117645,11.735294117647058,4.0,3.5,,,0.868421052631579,1.0,1.0,0.9473684210526316,10,2,27
81,PIA,McLaren,4,12,2020,Styrian Grand Prix,2,5,4.647058823529412,13.382352941176471,8.0,6.0,,,0.736842105263158,1.0,1.0,0.8947368421052633,15,5,27
14,ALO,Aston Martin,5,10,2020,Styrian Grand Prix,2,4,9.647058823529411,2.411764705882353,9.0,7.0,,,0.6842105263157895,1.0,1.0,0.8736842105263158,1,1,27
63,RUS,Mercedes,6,8,2020,Styrian Grand Prix,2,7,7.823529411764706,8.617647058823529,5.0,5.5,,,0.763157894736842,1.0,1.0,0.9052631578947368,17,6,27
38,BEA,Ferrari,7,6,2020,Styrian Grand Prix,2,11,8.5,11.735294117647058,10.0,7.0,,,0.6842105263157895,1.0,1.0,0.8736842105263158,2,2,27
4,NOR,McLaren,8,4,2020,Styrian Grand Prix,2,6,4.294117647058823,13.382352941176471,6.0,7.0,,,0.6842105263157895,1.0,1.0,0.8736842105263158,12,5,27
44,HAM,Mercedes,9,2,2020,Styrian Grand Prix,2,8,6.411764705882353,8.617647058823529,7.0,8.0,,,0.631578947368421,1.0,1.0,0.8526315789473684,7,6,27
27,HUL,Haas F1 Team,10,1,2020,Styrian Grand Prix,2,15,11.823529411764707,0.7941176470588235,16.0,13.0,,,0.368421052631579,1.0,1.0,0.7473684210526316,8,3,27
23,ALB,Williams,11,0,2020,Styrian Grand Prix,2,12,13.588235294117647,0.48484848484848486,15.0,13.0,,,0.368421052631579,1.0,1.0,0.7473684210526316,0,9,27
20,MAG,Haas F1 Team,12,0,2020,Styrian Grand Prix,2,13,13.75,0.7941176470588235,12.0,12.0,,,0.42105263157894735,1.0,1.0,0.7684210526315789,11,3,27
31,OCO,Alpine,13,0,2020,Styrian Grand Prix,2,17,13.647058823529411,0.38235294117647056,17.0,15.0,,,0.26315789473684204,1.0,1.0,0.7052631578947368,13,0,27
2,SAR,Williams,14,0,2020,Styrian Grand Prix,2,19,17.142857142857142,0.48484848484848486,20.0,17.0,,,0.1578947368421053,1.0,1.0,0.6631578947368422,19,9,27
22,TSU,RB,15,0,2020,Styrian Grand Prix,2,9,13.470588235294118,0.8235294117647058,14.0,14.5,,,0.2894736842105263,1.0,1.0,0.7157894736842105,21,7,27
3,RIC,RB,16,0,2020,Styrian Grand Prix,2,14,13.117647058823529,0.8235294117647058,13.0,14.5,,,0.2894736842105263,1.0,1.0,0.7157894736842105,16,7,27
77,BOT,Kick Sauber,17,0,2020,Styrian Grand Prix,2,16,16.058823529411764,0.0,19.0,18.0,,,0.10526315789473695,1.0,1.0,0.6421052631578947,3,4,27
24,ZHO,Kick Sauber,18,0,2020,Styrian Grand Prix,2,20,16.11764705882353,0.0,11.0,14.5,,,0.2894736842105263,1.0,1.0,0.7157894736842105,23,4,27
