DriverNumber,Abbreviation,TeamName,Position,Points,Year,GrandPrix,Winner,Second,Third,DriverID,TeamID,GP_ID,AvgFinish_Season,TeamAvgPoints_Season,PrevRaceFinish
1,VER,Red Bull Racing,1,26.0,2020,Austrian Grand Prix,1,0,0,22,8,3,1.0,26.0,10.0
11,PER,Red Bull Racing,2,18.0,2020,Austrian Grand Prix,0,1,0,14,8,3,2.0,22.0,10.0
55,SAI,Ferrari,3,15.0,2020,Austrian Grand Prix,0,0,1,18,2,3,3.0,15.0,10.0
16,LEC,Ferrari,4,12.0,2020,Austrian Grand Prix,0,0,0,10,2,3,4.0,13.5,10.0
63,RUS,Mercedes,5,10.0,2020,Austrian Grand Prix,0,0,0,17,6,3,5.0,10.0,10.0
4,NOR,McLaren,6,8.0,2020,Austrian Grand Prix,0,0,0,12,5,3,6.0,8.0,10.0
44,HAM,Mercedes,7,6.0,2020,Austrian Grand Prix,0,0,0,7,6,3,7.0,8.0,10.0
81,PIA,McLaren,8,4.0,2020,Austrian Grand Prix,0,0,0,15,5,3,8.0,6.0,10.0
14,ALO,Aston Martin,9,2.0,2020,Austrian Grand Prix,0,0,0,1,1,3,9.0,2.0,10.0
18,STR,Aston Martin,10,1.0,2020,Austrian Grand Prix,0,0,0,20,1,3,10.0,1.5,10.0
24,ZHO,Kick Sauber,11,0.0,2020,Austrian Grand Prix,0,0,0,23,4,3,11.0,0.0,10.0
20,MAG,Haas F1 Team,12,0.0,2020,Austrian Grand Prix,0,0,0,11,3,3,12.0,0.0,10.0
3,RIC,RB,13,0.0,2020,Austrian Grand Prix,0,0,0,16,7,3,13.0,0.0,10.0
22,TSU,RB,14,0.0,2020,Austrian Grand Prix,0,0,0,21,7,3,14.0,0.0,10.0
23,ALB,Williams,15,0.0,2020,Austrian Grand Prix,0,0,0,0,9,3,15.0,0.0,10.0
27,HUL,Haas F1 Team,16,0.0,2020,Austrian Grand Prix,0,0,0,8,3,3,16.0,0.0,10.0
31,OCO,Alpine,17,0.0,2020,Austrian Grand Prix,0,0,0,13,0,3,17.0,0.0,10.0
10,GAS,Alpine,18,0.0,2020,Austrian Grand Prix,0,0,0,6,0,3,18.0,0.0,10.0
77,BOT,Kick Sauber,19,0.0,2020,Austrian Grand Prix,0,0,0,3,4,3,19.0,0.0,10.0
2,SAR,Williams,20,0.0,2020,Austrian Grand Prix,0,0,0,19,9,3,20.0,0.0,10.0
1,VER,Red Bull Racing,1,25.0,2020,Styrian Grand Prix,1,0,0,22,8,27,1.0,23.0,1.0
11,PER,Red Bull Racing,2,18.0,2020,Styrian Grand Prix,0,1,0,14,8,27,2.0,21.75,2.0
16,LEC,Ferrari,3,16.0,2020,Styrian Grand Prix,0,0,1,10,2,27,3.5,14.333333333333334,4.0
81,PIA,McLaren,4,12.0,2020,Styrian Grand Prix,0,0,0,15,5,27,6.0,8.0,8.0
14,ALO,Aston Martin,5,10.0,2020,Styrian Grand Prix,0,0,0,1,1,27,7.0,4.333333333333333,9.0
63,RUS,Mercedes,6,8.0,2020,Styrian Grand Prix,0,0,0,17,6,27,5.5,8.0,5.0
38,BEA,Ferrari,7,6.0,2020,Styrian Grand Prix,0,0,0,2,2,27,7.0,12.25,10.0
4,NOR,McLaren,8,4.0,2020,Styrian Grand Prix,0,0,0,12,5,27,7.0,7.0,6.0
44,HAM,Mercedes,9,2.0,2020,Styrian Grand Prix,0,0,0,7,6,27,8.0,6.5,7.0
27,HUL,Haas F1 Team,10,1.0,2020,Styrian Grand Prix,0,0,0,8,3,27,13.0,0.3333333333333333,16.0
23,ALB,Williams,11,0.0,2020,Styrian Grand Prix,0,0,0,0,9,27,13.0,0.0,15.0
20,MAG,Haas F1 Team,12,0.0,2020,Styrian Grand Prix,0,0,0,11,3,27,12.0,0.25,12.0
31,OCO,Alpine,13,0.0,2020,Styrian Grand Prix,0,0,0,13,0,27,15.0,0.0,17.0
2,SAR,Williams,14,0.0,2020,Styrian Grand Prix,0,0,0,19,9,27,17.0,0.0,20.0
22,TSU,RB,15,0.0,2020,Styrian Grand Prix,0,0,0,21,7,27,14.5,0.0,14.0
3,RIC,RB,16,0.0,2020,Styrian Grand Prix,0,0,0,16,7,27,14.5,0.0,13.0
77,BOT,Kick Sauber,17,0.0,2020,Styrian Grand Prix,0,0,0,3,4,27,18.0,0.0,19.0
24,ZHO,Kick Sauber,18,0.0,2020,Styrian Grand Prix,0,0,0,23,4,27,14.5,0.0,11.0
